Test;Size;Time (µs);GB/s
Read TCM;4424;504645;3.170546
Scalar Read TCM;4424;1005447;1.591332
Write SRAM0;4424;881817;1.814435
Scalar Write SRAM0;4424;1009307;1.585246
Write TCM;4424;504741;3.169943
Scalar Write TCM;4424;1005645;1.591019
Read SRAM0;4632;804647;1.988450
Scalar Read SRAM0;4632;1300142;1.230635
Read TCM;4632;504450;3.171771
Scalar Read TCM;4632;1005228;1.591679
Write SRAM0;4632;881657;1.814765
Scalar Write SRAM0;4632;1009069;1.585620
Write TCM;4632;504547;3.171161
Scalar Write TCM;4632;1005438;1.591346
Read SRAM0;4848;791101;2.022498
Scalar Read SRAM0;4848;1286991;1.243210
Read TCM;4848;504271;3.172897
Scalar Read TCM;4848;1005032;1.591989
Write SRAM0;4848;881576;1.814931
Scalar Write SRAM0;4848;1008894;1.585895
Write TCM;4848;504370;3.172274
Scalar Write TCM;4848;1005241;1.591658
Read SRAM0;5076;778189;2.056056
Scalar Read SRAM0;5076;1273844;1.256041
Read TCM;5076;504095;3.174005
Scalar Read TCM;5076;1004844;1.592287
Write SRAM0;5076;881769;1.814534
Scalar Write SRAM0;5076;1008721;1.586167
Write TCM;5076;504194;3.173382
Scalar Write TCM;5076;1005048;1.591964
Read SRAM0;5312;972304;1.645576
Scalar Read SRAM0;5312;1476519;1.083630
Read TCM;5312;503926;3.175069
Scalar Read TCM;5312;1004653;1.592590
Write SRAM0;5312;881354;1.815389
Scalar Write SRAM0;5312;1008483;1.586541
Write TCM;5312;504026;3.174439
Scalar Write TCM;5312;1004855;1.592270
Read SRAM0;5564;1148027;1.393695
Scalar Read SRAM0;5564;1652461;0.968253
Read TCM;5564;503763;3.176097
Scalar Read TCM;5564;1004468;1.592883
Write SRAM0;5564;881473;1.815143
Scalar Write SRAM0;5564;1008306;1.586820
Write TCM;5564;503862;3.175472
Scalar Write TCM;5564;1004667;1.592567
Read SRAM0;5824;1163351;1.375337
Scalar Read SRAM0;5824;1675820;0.954756
Read TCM;5824;503613;3.177043
Scalar Read TCM;5824;1004306;1.593140
Write SRAM0;5824;881170;1.815768
Scalar Write SRAM0;5824;1008178;1.587021
Write TCM;5824;503712;3.176418
Scalar Write TCM;5824;1004507;1.592821
Read SRAM0;6096;1300900;1.229918
Scalar Read SRAM0;6096;1827133;0.875689
Read TCM;6096;503461;3.178002
Scalar Read TCM;6096;1004139;1.593405
