Test;Size;Time (µs);GB/s
Write Throughput SRAM 0;2896;883061;1.811879
Scalar Write Throughput SRAM 0;2896;1007934;1.587405
Write Throughput;2896;506994;3.155856
Scalar Write Throughput;2896;1007936;1.587402
Read Throughput SRAM 0;3040;506589;3.158379
Scalar Read Throughput SRAM 0;3040;1007586;1.587954
Read Throughput;3040;506583;3.158416
Scalar Read Throughput;3040;1007586;1.587954
Write Throughput SRAM 0;3040;882866;1.812280
Scalar Write Throughput SRAM 0;3040;1007585;1.587955
Write Throughput;3040;506682;3.157799
Scalar Write Throughput;3040;1007589;1.587949
Read Throughput SRAM 0;3188;506295;3.160213
Scalar Read Throughput SRAM 0;3188;1007268;1.588455
Read Throughput;3188;506294;3.160219
Scalar Read Throughput;3188;1007269;1.588454
Write Throughput SRAM 0;3188;883153;1.811691
Scalar Write Throughput SRAM 0;3188;1007269;1.588454
Write Throughput;3188;506392;3.159608
Scalar Write Throughput;3188;1007269;1.588454
Read Throughput SRAM 0;3348;506010;3.161993
Scalar Read Throughput SRAM 0;3348;1006954;1.588951
Read Throughput;3348;506011;3.161987
Scalar Read Throughput;3348;1006955;1.588949
Write Throughput SRAM 0;3348;882969;1.812068
Scalar Write Throughput SRAM 0;3348;1006955;1.588949
Write Throughput;3348;506109;3.161374
Scalar Write Throughput;3348;1006955;1.588949
Read Throughput SRAM 0;3512;505746;3.163644
Scalar Read Throughput SRAM 0;3512;1006662;1.589411
Read Throughput;3512;505746;3.163644
Scalar Read Throughput;3512;1006662;1.589411
Write Throughput SRAM 0;3512;882390;1.813257
Scalar Write Throughput SRAM 0;3512;1006661;1.589413
Write Throughput;3512;505844;3.163030
Scalar Write Throughput;3512;1006662;1.589411
Read Throughput SRAM 0;3684;505492;3.165233
Scalar Read Throughput SRAM 0;3684;1006378;1.589860
Read Throughput;3684;505491;3.165239
Scalar Read Throughput;3684;1006379;1.589858
Write Throughput SRAM 0;3684;882631;1.812762
Scalar Write Throughput SRAM 0;3684;1006378;1.589860
Write Throughput;3684;505589;3.164626
Scalar Write Throughput;3684;1006378;1.589860
Read Throughput SRAM 0;3864;505250;3.166749
Scalar Read Throughput SRAM 0;3864;1006112;1.590280
Read Throughput;3864;505250;3.166749
Scalar Read Throughput;3864;1006112;1.590280
Write Throughput SRAM 0;3864;882098;1.813857
Scalar Write Throughput SRAM 0;3864;1006112;1.590280
Write Throughput;3864;505348;3.166135
Scalar Write Throughput;3864;1006112;1.590280
Read Throughput SRAM 0;4056;505019;3.168198
Scalar Read Throughput SRAM 0;4056;1005856;1.590685
Read Throughput;4056;505018;3.168204
Scalar Read Throughput;4056;1005857;1.590683
Write Throughput SRAM 0;4056;881958;1.814145
Scalar Write Throughput SRAM 0;4056;1005856;1.590685
Write Throughput;4056;505117;3.167583
Scalar Write Throughput;4056;1005857;1.590683
Read Throughput SRAM 0;4256;504794;3.169610
Scalar Read Throughput SRAM 0;4256;1005606;1.591080
Read Throughput;4256;504795;3.169603
Scalar Read Throughput;4256;1005606;1.591080
Write Throughput SRAM 0;4256;881829;1.814411
Scalar Write Throughput SRAM 0;4256;1005605;1.591082
Write Throughput;4256;504892;3.168995
Scalar Write Throughput;4256;1005606;1.591080
Read Throughput SRAM 0;4468;504584;3.170929
Scalar Read Throughput SRAM 0;4468;1005375;1.591446
Read Throughput;4468;504585;3.170923
Scalar Read Throughput;4468;1005375;1.591446
Write Throughput SRAM 0;4468;882029;1.813999
Scalar Write Throughput SRAM 0;4468;1005375;1.591446
Write Throughput;4468;504684;3.170301
Scalar Write Throughput;4468;1005376;1.591444
Read Throughput SRAM 0;4688;504386;3.172174
Scalar Read Throughput SRAM 0;4688;1005157;1.591791
Read Throughput;4688;504387;3.172167
Scalar Read Throughput;4688;1005158;1.591789
Write Throughput SRAM 0;4688;881607;1.814868
Scalar Write Throughput SRAM 0;4688;1005158;1.591789
Write Throughput;4688;504485;3.171551
Scalar Write Throughput;4688;1005157;1.591791
Read Throughput SRAM 0;4916;504193;3.173388
Scalar Read Throughput SRAM 0;4916;1004939;1.592136
Read Throughput;4916;504193;3.173388
Scalar Read Throughput;4916;1004940;1.592135
Write Throughput SRAM 0;4916;881775;1.814522
Scalar Write Throughput SRAM 0;4916;1004940;1.592135
Write Throughput;4916;504291;3.172771
Scalar Write Throughput;4916;1004939;1.592136
Read Throughput SRAM 0;5160;504016;3.174502
Scalar Read Throughput SRAM 0;5160;1004744;1.592445
Read Throughput;5160;504014;3.174515
Scalar Read Throughput;5160;1004745;1.592444
