Test;Size;Time (µs);GB/s
Write Throughput SRAM 0;3208;885124;0.723063
Scalar Write Throughput SRAM 0;3208;1007950;0.634952
Write Throughput;3208;506708;1.263055
Scalar Write Throughput;3208;1007955;0.634949
Read Throughput SRAM 0;3360;506197;1.264330
Scalar Read Throughput SRAM 0;3360;1007660;0.635135
Read Throughput;3360;506196;1.264332
Scalar Read Throughput;3360;1007662;0.635134
Write Throughput SRAM 0;3360;884975;0.723184
Scalar Write Throughput SRAM 0;3360;1007662;0.635134
Write Throughput;3360;506442;1.263718
Scalar Write Throughput;3360;1007661;0.635134
Read Throughput SRAM 0;3516;505945;1.264960
Scalar Read Throughput SRAM 0;3516;1007377;0.635313
Read Throughput;3516;505941;1.264970
Scalar Read Throughput;3516;1007375;0.635315
Write Throughput SRAM 0;3516;885241;0.722967
Scalar Write Throughput SRAM 0;3516;1007377;0.635313
Write Throughput;3516;506184;1.264362
Scalar Write Throughput;3516;1007376;0.635314
Read Throughput SRAM 0;3680;505699;1.265575
Scalar Read Throughput SRAM 0;3680;1007121;0.635475
Read Throughput;3680;505703;1.265565
Scalar Read Throughput;3680;1007111;0.635481
Write Throughput SRAM 0;3680;884686;0.723421
Scalar Write Throughput SRAM 0;3680;1007109;0.635482
Write Throughput;3680;505946;1.264957
Scalar Write Throughput;3680;1007111;0.635481
Read Throughput SRAM 0;3856;505459;1.266176
Scalar Read Throughput SRAM 0;3856;1006837;0.635654
Read Throughput;3856;505458;1.266178
Scalar Read Throughput;3856;1006836;0.635655
Write Throughput SRAM 0;3856;884541;0.723539
Scalar Write Throughput SRAM 0;3856;1006836;0.635655
Write Throughput;3856;505703;1.265565
Scalar Write Throughput;3856;1006837;0.635654
Read Throughput SRAM 0;4036;505247;1.266707
Scalar Read Throughput SRAM 0;4036;1006604;0.635801
Read Throughput;4036;505244;1.266715
Scalar Read Throughput;4036;1006606;0.635800
Write Throughput SRAM 0;4036;884783;0.723341
Scalar Write Throughput SRAM 0;4036;1006604;0.635801
Write Throughput;4036;505491;1.266096
Scalar Write Throughput;4036;1006608;0.635799
Read Throughput SRAM 0;4224;505026;1.267262
Scalar Read Throughput SRAM 0;4224;1006359;0.635956
Read Throughput;4224;505026;1.267262
Scalar Read Throughput;4224;1006356;0.635958
Write Throughput SRAM 0;4224;884291;0.723744
Scalar Write Throughput SRAM 0;4224;1006355;0.635958
Write Throughput;4224;505274;1.266639
Scalar Write Throughput;4224;1006357;0.635957
Read Throughput SRAM 0;4424;504826;1.267764
Scalar Read Throughput SRAM 0;4424;1006140;0.636094
Read Throughput;4424;504826;1.267764
Scalar Read Throughput;4424;1006141;0.636094
Write Throughput SRAM 0;4424;884182;0.723833
Scalar Write Throughput SRAM 0;4424;1006141;0.636094
Write Throughput;4424;505071;1.267149
Scalar Write Throughput;4424;1006143;0.636092
Read Throughput SRAM 0;4632;504635;1.268243
Scalar Read Throughput SRAM 0;4632;1005925;0.636230
Read Throughput;4632;504634;1.268246
Scalar Read Throughput;4632;1005928;0.636228
Write Throughput SRAM 0;4632;884069;0.723925
Scalar Write Throughput SRAM 0;4632;1005926;0.636230
Write Throughput;4632;504883;1.267620
Scalar Write Throughput;4632;1005928;0.636228
Read Throughput SRAM 0;4848;504452;1.268703
Scalar Read Throughput SRAM 0;4848;1005723;0.636358
Read Throughput;4848;504451;1.268706
Scalar Read Throughput;4848;1005725;0.636357
Write Throughput SRAM 0;4848;883960;0.724015
Scalar Write Throughput SRAM 0;4848;1005724;0.636357
Write Throughput;4848;504698;1.268085
Scalar Write Throughput;4848;1005724;0.636357
Read Throughput SRAM 0;5076;504267;1.269169
Scalar Read Throughput SRAM 0;5076;1005507;0.636495
Read Throughput;5076;504263;1.269179
Scalar Read Throughput;5076;1005508;0.636494
Write Throughput SRAM 0;5076;884127;0.723878
Scalar Write Throughput SRAM 0;5076;1005506;0.636495
Write Throughput;5076;504513;1.268550
Scalar Write Throughput;5076;1005506;0.636495
Read Throughput SRAM 0;5312;504103;1.269582
Scalar Read Throughput SRAM 0;5312;1005333;0.636605
Read Throughput;5312;504104;1.269579
Scalar Read Throughput;5312;1005336;0.636603
Write Throughput SRAM 0;5312;883748;0.724188
Scalar Write Throughput SRAM 0;5312;1005337;0.636602
Write Throughput;5312;504352;1.268955
Scalar Write Throughput;5312;1005336;0.636603
